primary_mass sec_mass period case donar_star donar_star_index donar_state
10.715193052376065 6.429115831425639 79.43282347242817 1 primary 1 2.0
10.715193052376065 6.429115831425639 100.0 1 primary 1 2.0
10.715193052376065 6.429115831425639 125.89254117941675 1 primary 1 2.0
10.715193052376065 6.429115831425639 158.48931924611142 1 primary 1 2.0
10.715193052376065 6.429115831425639 199.52623149688807 1 primary 1 2.0
10.715193052376065 6.429115831425639 251.18864315095823 1 primary 1 2.0
10.715193052376065 6.429115831425639 316.22776601683796 1 primary 1 2.0
10.715193052376065 6.429115831425639 398.1071705534973 1 primary 1 2.0
10.715193052376065 6.429115831425639 501.18723362727246 1 primary 1 3.0
10.715193052376065 6.429115831425639 630.9573444801937 1 primary 1 3.0
10.715193052376065 6.429115831425639 794.3282347242822 1 primary 1 3.0
10.715193052376065 6.429115831425639 1000.0 1 primary 1 3.0
10.715193052376065 6.429115831425639 1258.9254117941675 1 primary 1 3.0
10.715193052376065 6.429115831425639 1584.893192461114 3 primary 1 5.0
10.715193052376065 6.429115831425639 1995.262314968881 3 primary 5 5.0
10.715193052376065 6.429115831425639 2511.886431509582 4 none 0 nan
10.715193052376065 6.429115831425639 3162.2776601683795 4 none 0 nan
10.715193052376065 6.429115831425639 3981.0717055349733 4 none 0 nan
10.715193052376065 6.429115831425639 5011.872336272725 4 none 0 nan
10.715193052376065 6.429115831425639 6309.573444801937 4 none 0 nan
10.715193052376065 6.429115831425639 7943.282347242822 4 none 0 nan
10.715193052376065 6.429115831425639 10000.0 4 none 0 nan
10.964781961431852 6.5788691768591105 1.0 0 primary 1 1.0
10.964781961431852 6.5788691768591105 1.2589254117941673 0 primary 1 1.0
10.964781961431852 6.5788691768591105 1.5848931924611136 0 primary 1 1.0
10.964781961431852 6.5788691768591105 1.9952623149688797 0 primary 1 1.0
10.964781961431852 6.5788691768591105 2.51188643150958 0 primary 1 1.0
10.964781961431852 6.5788691768591105 3.1622776601683795 0 primary 1 1.0
10.964781961431852 6.5788691768591105 3.981071705534973 0 primary 1 1.0
10.964781961431852 6.5788691768591105 5.011872336272724 0 primary 1 1.0
10.964781961431852 6.5788691768591105 6.309573444801933 0 primary 1 1.0
10.964781961431852 6.5788691768591105 7.943282347242816 1 primary 1 2.0
10.964781961431852 6.5788691768591105 10.0 1 primary 1 2.0
10.964781961431852 6.5788691768591105 12.589254117941675 1 primary 1 2.0
10.964781961431852 6.5788691768591105 15.848931924611142 1 primary 1 2.0
10.964781961431852 6.5788691768591105 19.952623149688797 1 primary 1 2.0
10.964781961431852 6.5788691768591105 25.11886431509581 1 primary 1 2.0
10.964781961431852 6.5788691768591105 31.622776601683793 1 primary 1 2.0
10.964781961431852 6.5788691768591105 39.810717055349734 1 primary 1 2.0
10.964781961431852 6.5788691768591105 50.11872336272725 1 primary 1 2.0
10.964781961431852 6.5788691768591105 63.09573444801933 1 primary 1 2.0
10.964781961431852 6.5788691768591105 79.43282347242817 1 primary 1 2.0
10.964781961431852 6.5788691768591105 100.0 1 primary 1 2.0
10.964781961431852 6.5788691768591105 125.89254117941675 1 primary 1 2.0
10.964781961431852 6.5788691768591105 158.48931924611142 1 primary 1 2.0
10.964781961431852 6.5788691768591105 199.52623149688807 1 primary 1 2.0
10.964781961431852 6.5788691768591105 251.18864315095823 1 primary 1 2.0
10.964781961431852 6.5788691768591105 316.22776601683796 1 primary 1 2.0
10.964781961431852 6.5788691768591105 398.1071705534973 1 primary 1 2.0
10.964781961431852 6.5788691768591105 501.18723362727246 1 primary 1 3.0
10.964781961431852 6.5788691768591105 630.9573444801937 1 primary 1 3.0
10.964781961431852 6.5788691768591105 794.3282347242822 1 primary 1 3.0
10.964781961431852 6.5788691768591105 1000.0 1 primary 1 3.0
10.964781961431852 6.5788691768591105 1258.9254117941675 1 primary 1 3.0
10.964781961431852 6.5788691768591105 1584.893192461114 3 primary 1 5.0
10.964781961431852 6.5788691768591105 1995.262314968881 3 primary 5 5.0
10.964781961431852 6.5788691768591105 2511.886431509582 4 none 0 nan
10.964781961431852 6.5788691768591105 3162.2776601683795 4 none 0 nan
10.964781961431852 6.5788691768591105 3981.0717055349733 4 none 0 nan
10.964781961431852 6.5788691768591105 5011.872336272725 4 none 0 nan
10.964781961431852 6.5788691768591105 6309.573444801937 4 none 0 nan
10.964781961431852 6.5788691768591105 7943.282347242822 4 none 0 nan
10.964781961431852 6.5788691768591105 10000.0 4 none 0 nan
11.220184543019636 6.732110725811782 1.0 0 primary 1 1.0
11.220184543019636 6.732110725811782 1.2589254117941673 0 primary 1 1.0
11.220184543019636 6.732110725811782 1.5848931924611136 0 primary 1 1.0
11.220184543019636 6.732110725811782 1.9952623149688797 0 primary 1 1.0
11.220184543019636 6.732110725811782 2.51188643150958 0 primary 1 1.0
11.220184543019636 6.732110725811782 3.1622776601683795 0 primary 1 1.0
11.220184543019636 6.732110725811782 3.981071705534973 0 primary 1 1.0
11.220184543019636 6.732110725811782 5.011872336272724 0 primary 1 1.0
11.220184543019636 6.732110725811782 6.309573444801933 0 primary 1 1.0
11.220184543019636 6.732110725811782 7.943282347242816 1 primary 1 2.0
11.220184543019636 6.732110725811782 10.0 1 primary 1 2.0
11.220184543019636 6.732110725811782 12.589254117941675 1 primary 1 2.0
11.220184543019636 6.732110725811782 15.848931924611142 1 primary 1 2.0
11.220184543019636 6.732110725811782 19.952623149688797 1 primary 1 2.0
11.220184543019636 6.732110725811782 25.11886431509581 1 primary 1 2.0
11.220184543019636 6.732110725811782 31.622776601683793 1 primary 1 2.0
11.220184543019636 6.732110725811782 39.810717055349734 1 primary 1 2.0
11.220184543019636 6.732110725811782 50.11872336272725 1 primary 1 2.0
11.220184543019636 6.732110725811782 63.09573444801933 1 primary 1 2.0
11.220184543019636 6.732110725811782 79.43282347242817 1 primary 1 2.0
11.220184543019636 6.732110725811782 100.0 1 primary 1 2.0
11.220184543019636 6.732110725811782 125.89254117941675 1 primary 1 2.0
11.220184543019636 6.732110725811782 158.48931924611142 1 primary 1 2.0
11.220184543019636 6.732110725811782 199.52623149688807 1 primary 1 2.0
11.220184543019636 6.732110725811782 251.18864315095823 1 primary 1 2.0
11.220184543019636 6.732110725811782 316.22776601683796 1 primary 1 2.0
11.220184543019636 6.732110725811782 398.1071705534973 1 primary 1 2.0
11.220184543019636 6.732110725811782 501.18723362727246 1 primary 1 3.0
11.220184543019636 6.732110725811782 630.9573444801937 1 primary 1 3.0
11.220184543019636 6.732110725811782 794.3282347242822 1 primary 1 3.0
11.220184543019636 6.732110725811782 1000.0 1 primary 1 3.0
11.220184543019636 6.732110725811782 1258.9254117941675 1 primary 1 3.0
11.220184543019636 6.732110725811782 1584.893192461114 1 primary 1 3.0
11.220184543019636 6.732110725811782 1995.262314968881 3 primary 5 5.0
11.220184543019636 6.732110725811782 2511.886431509582 4 none 0 nan
11.220184543019636 6.732110725811782 3162.2776601683795 4 none 0 nan
11.220184543019636 6.732110725811782 3981.0717055349733 4 none 0 nan
11.220184543019636 6.732110725811782 5011.872336272725 4 none 0 nan
11.220184543019636 6.732110725811782 6309.573444801937 4 none 0 nan
11.220184543019636 6.732110725811782 7943.282347242822 4 none 0 nan
11.220184543019636 6.732110725811782 10000.0 4 none 0 nan
11.481536214968829 6.888921728981297 1.0 0 primary 1 1.0
11.481536214968829 6.888921728981297 1.2589254117941673 0 primary 1 1.0
11.481536214968829 6.888921728981297 1.5848931924611136 0 primary 1 1.0
11.481536214968829 6.888921728981297 1.9952623149688797 0 primary 1 1.0
11.481536214968829 6.888921728981297 2.51188643150958 0 primary 1 1.0
11.481536214968829 6.888921728981297 3.1622776601683795 0 primary 1 1.0
11.481536214968829 6.888921728981297 3.981071705534973 0 primary 1 1.0
11.481536214968829 6.888921728981297 5.011872336272724 0 primary 1 1.0
11.481536214968829 6.888921728981297 6.309573444801933 0 primary 1 1.0
11.481536214968829 6.888921728981297 7.943282347242816 1 primary 1 2.0
11.481536214968829 6.888921728981297 10.0 1 primary 1 2.0
11.481536214968829 6.888921728981297 12.589254117941675 1 primary 1 2.0
11.481536214968829 6.888921728981297 15.848931924611142 1 primary 1 2.0
11.481536214968829 6.888921728981297 19.952623149688797 1 primary 1 2.0
11.481536214968829 6.888921728981297 25.11886431509581 1 primary 1 2.0
11.481536214968829 6.888921728981297 31.622776601683793 1 primary 1 2.0
11.481536214968829 6.888921728981297 39.810717055349734 1 primary 1 2.0
11.481536214968829 6.888921728981297 50.11872336272725 1 primary 1 2.0
11.481536214968829 6.888921728981297 63.09573444801933 1 primary 1 2.0
11.481536214968829 6.888921728981297 79.43282347242817 1 primary 1 2.0
11.481536214968829 6.888921728981297 100.0 1 primary 1 2.0
11.481536214968829 6.888921728981297 125.89254117941675 1 primary 1 2.0
11.481536214968829 6.888921728981297 158.48931924611142 1 primary 1 2.0
11.481536214968829 6.888921728981297 199.52623149688807 1 primary 1 2.0
11.481536214968829 6.888921728981297 251.18864315095823 1 primary 1 2.0
11.481536214968829 6.888921728981297 316.22776601683796 1 primary 1 2.0
11.481536214968829 6.888921728981297 398.1071705534973 1 primary 1 2.0
11.481536214968829 6.888921728981297 501.18723362727246 1 primary 1 3.0
11.481536214968829 6.888921728981297 630.9573444801937 1 primary 1 3.0
11.481536214968829 6.888921728981297 794.3282347242822 1 primary 1 3.0
11.481536214968829 6.888921728981297 1000.0 1 primary 1 3.0
11.481536214968829 6.888921728981297 1258.9254117941675 1 primary 1 3.0
11.481536214968829 6.888921728981297 1584.893192461114 1 primary 1 3.0
11.481536214968829 6.888921728981297 1995.262314968881 3 primary 5 5.0
11.481536214968829 6.888921728981297 2511.886431509582 4 none 0 nan
11.481536214968829 6.888921728981297 3162.2776601683795 4 none 0 nan
11.481536214968829 6.888921728981297 3981.0717055349733 4 none 0 nan
11.481536214968829 6.888921728981297 5011.872336272725 4 none 0 nan
11.481536214968829 6.888921728981297 6309.573444801937 4 none 0 nan
11.481536214968829 6.888921728981297 7943.282347242822 4 none 0 nan
11.481536214968829 6.888921728981297 10000.0 4 none 0 nan
11.748975549395297 7.049385329637178 1.0 0 primary 1 1.0
11.748975549395297 7.049385329637178 1.2589254117941673 0 primary 1 1.0
11.748975549395297 7.049385329637178 1.5848931924611136 0 primary 1 1.0
11.748975549395297 7.049385329637178 1.9952623149688797 0 primary 1 1.0
11.748975549395297 7.049385329637178 2.51188643150958 0 primary 1 1.0
11.748975549395297 7.049385329637178 3.1622776601683795 0 primary 1 1.0
11.748975549395297 7.049385329637178 3.981071705534973 0 primary 1 1.0
11.748975549395297 7.049385329637178 5.011872336272724 0 primary 1 1.0
11.748975549395297 7.049385329637178 6.309573444801933 0 primary 1 1.0
11.748975549395297 7.049385329637178 7.943282347242816 1 primary 1 2.0
11.748975549395297 7.049385329637178 10.0 1 primary 1 2.0
11.748975549395297 7.049385329637178 12.589254117941675 1 primary 1 2.0
11.748975549395297 7.049385329637178 15.848931924611142 1 primary 1 2.0
11.748975549395297 7.049385329637178 19.952623149688797 1 primary 1 2.0
11.748975549395297 7.049385329637178 25.11886431509581 1 primary 1 2.0
11.748975549395297 7.049385329637178 31.622776601683793 1 primary 1 2.0
11.748975549395297 7.049385329637178 39.810717055349734 1 primary 1 2.0
11.748975549395297 7.049385329637178 50.11872336272725 1 primary 1 2.0
11.748975549395297 7.049385329637178 63.09573444801933 1 primary 1 2.0
11.748975549395297 7.049385329637178 79.43282347242817 1 primary 1 2.0
11.748975549395297 7.049385329637178 100.0 1 primary 1 2.0
11.748975549395297 7.049385329637178 125.89254117941675 1 primary 1 2.0
11.748975549395297 7.049385329637178 158.48931924611142 1 primary 1 2.0
11.748975549395297 7.049385329637178 199.52623149688807 1 primary 1 2.0
11.748975549395297 7.049385329637178 251.18864315095823 1 primary 1 2.0
11.748975549395297 7.049385329637178 316.22776601683796 1 primary 1 2.0
11.748975549395297 7.049385329637178 398.1071705534973 1 primary 1 2.0
11.748975549395297 7.049385329637178 501.18723362727246 1 primary 1 3.0
11.748975549395297 7.049385329637178 630.9573444801937 1 primary 1 3.0
11.748975549395297 7.049385329637178 794.3282347242822 1 primary 1 3.0
11.748975549395297 7.049385329637178 1000.0 1 primary 1 3.0
11.748975549395297 7.049385329637178 1258.9254117941675 1 primary 1 3.0
11.748975549395297 7.049385329637178 1584.893192461114 1 primary 1 3.0
11.748975549395297 7.049385329637178 1995.262314968881 3 primary 5 5.0
11.748975549395297 7.049385329637178 2511.886431509582 4 none 0 nan
11.748975549395297 7.049385329637178 3162.2776601683795 4 none 0 nan
11.748975549395297 7.049385329637178 3981.0717055349733 4 none 0 nan
11.748975549395297 7.049385329637178 5011.872336272725 4 none 0 nan
11.748975549395297 7.049385329637178 6309.573444801937 4 none 0 nan
11.748975549395297 7.049385329637178 7943.282347242822 4 none 0 nan
11.748975549395297 7.049385329637178 10000.0 4 none 0 nan
12.02264434617413 7.213586607704478 1.0 0 primary 1 1.0
12.02264434617413 7.213586607704478 1.2589254117941673 0 primary 1 1.0
12.02264434617413 7.213586607704478 1.5848931924611136 0 primary 1 1.0
12.02264434617413 7.213586607704478 1.9952623149688797 0 primary 1 1.0
12.02264434617413 7.213586607704478 2.51188643150958 0 primary 1 1.0
12.02264434617413 7.213586607704478 3.1622776601683795 0 primary 1 1.0
12.02264434617413 7.213586607704478 3.981071705534973 0 primary 1 1.0
12.02264434617413 7.213586607704478 5.011872336272724 0 primary 1 1.0
12.02264434617413 7.213586607704478 6.309573444801933 0 primary 1 1.0
12.02264434617413 7.213586607704478 7.943282347242816 1 primary 1 2.0
12.02264434617413 7.213586607704478 10.0 1 primary 1 2.0
12.02264434617413 7.213586607704478 12.589254117941675 1 primary 1 2.0
12.02264434617413 7.213586607704478 15.848931924611142 1 primary 1 2.0
12.02264434617413 7.213586607704478 19.952623149688797 1 primary 1 2.0
12.02264434617413 7.213586607704478 25.11886431509581 1 primary 1 2.0
12.02264434617413 7.213586607704478 31.622776601683793 1 primary 1 2.0
12.02264434617413 7.213586607704478 39.810717055349734 1 primary 1 2.0
12.02264434617413 7.213586607704478 50.11872336272725 1 primary 1 2.0
12.02264434617413 7.213586607704478 63.09573444801933 1 primary 1 2.0
12.02264434617413 7.213586607704478 79.43282347242817 1 primary 1 2.0
12.02264434617413 7.213586607704478 100.0 1 primary 1 2.0
12.02264434617413 7.213586607704478 125.89254117941675 1 primary 1 2.0
12.02264434617413 7.213586607704478 158.48931924611142 1 primary 1 2.0
12.02264434617413 7.213586607704478 199.52623149688807 1 primary 1 2.0
12.02264434617413 7.213586607704478 251.18864315095823 1 primary 1 2.0
12.02264434617413 7.213586607704478 316.22776601683796 1 primary 1 2.0
12.02264434617413 7.213586607704478 398.1071705534973 1 primary 1 2.0
12.02264434617413 7.213586607704478 501.18723362727246 1 primary 1 2.0
12.02264434617413 7.213586607704478 630.9573444801937 1 primary 1 3.0
12.02264434617413 7.213586607704478 794.3282347242822 1 primary 1 3.0
12.02264434617413 7.213586607704478 1000.0 1 primary 1 3.0
12.02264434617413 7.213586607704478 1258.9254117941675 1 primary 1 3.0
12.02264434617413 7.213586607704478 1584.893192461114 1 primary 1 3.0
12.02264434617413 7.213586607704478 1995.262314968881 3 primary 5 5.0
12.02264434617413 7.213586607704478 2511.886431509582 3 primary 5 5.0
12.02264434617413 7.213586607704478 3162.2776601683795 4 none 0 nan
12.02264434617413 7.213586607704478 3981.0717055349733 4 none 0 nan
12.02264434617413 7.213586607704478 5011.872336272725 4 none 0 nan
12.02264434617413 7.213586607704478 6309.573444801937 4 none 0 nan
12.02264434617413 7.213586607704478 7943.282347242822 4 none 0 nan
12.02264434617413 7.213586607704478 10000.0 4 none 0 nan
12.302687708123818 7.381612624874291 1.0 0 primary 1 1.0
12.302687708123818 7.381612624874291 1.2589254117941673 0 primary 1 1.0
12.302687708123818 7.381612624874291 1.5848931924611136 0 primary 1 1.0
12.302687708123818 7.381612624874291 1.9952623149688797 0 primary 1 1.0
12.302687708123818 7.381612624874291 2.51188643150958 0 primary 1 1.0
12.302687708123818 7.381612624874291 3.1622776601683795 0 primary 1 1.0
12.302687708123818 7.381612624874291 3.981071705534973 0 primary 1 1.0
12.302687708123818 7.381612624874291 5.011872336272724 0 primary 1 1.0
12.302687708123818 7.381612624874291 6.309573444801933 0 primary 1 1.0
12.302687708123818 7.381612624874291 7.943282347242816 1 primary 1 2.0
12.302687708123818 7.381612624874291 10.0 1 primary 1 2.0
12.302687708123818 7.381612624874291 12.589254117941675 1 primary 1 2.0
12.302687708123818 7.381612624874291 15.848931924611142 1 primary 1 2.0
12.302687708123818 7.381612624874291 19.952623149688797 1 primary 1 2.0
12.302687708123818 7.381612624874291 25.11886431509581 1 primary 1 2.0
12.302687708123818 7.381612624874291 31.622776601683793 1 primary 1 2.0
12.302687708123818 7.381612624874291 39.810717055349734 1 primary 1 2.0
12.302687708123818 7.381612624874291 50.11872336272725 1 primary 1 2.0
12.302687708123818 7.381612624874291 63.09573444801933 1 primary 1 2.0
12.302687708123818 7.381612624874291 79.43282347242817 1 primary 1 2.0
12.302687708123818 7.381612624874291 100.0 1 primary 1 2.0
12.302687708123818 7.381612624874291 125.89254117941675 1 primary 1 2.0
12.302687708123818 7.381612624874291 158.48931924611142 1 primary 1 2.0
12.302687708123818 7.381612624874291 199.52623149688807 1 primary 1 2.0
12.302687708123818 7.381612624874291 251.18864315095823 1 primary 1 2.0
12.302687708123818 7.381612624874291 316.22776601683796 1 primary 1 2.0
12.302687708123818 7.381612624874291 398.1071705534973 1 primary 1 2.0
12.302687708123818 7.381612624874291 501.18723362727246 1 primary 1 2.0
12.302687708123818 7.381612624874291 630.9573444801937 1 primary 1 3.0
12.302687708123818 7.381612624874291 794.3282347242822 1 primary 1 3.0
12.302687708123818 7.381612624874291 1000.0 1 primary 1 3.0
12.302687708123818 7.381612624874291 1258.9254117941675 1 primary 1 3.0
12.302687708123818 7.381612624874291 1584.893192461114 1 primary 1 3.0
12.302687708123818 7.381612624874291 1995.262314968881 3 primary 5 5.0
12.302687708123818 7.381612624874291 2511.886431509582 3 primary 5 5.0
12.302687708123818 7.381612624874291 3162.2776601683795 4 none 0 nan
12.302687708123818 7.381612624874291 3981.0717055349733 4 none 0 nan
12.302687708123818 7.381612624874291 5011.872336272725 4 none 0 nan
12.302687708123818 7.381612624874291 6309.573444801937 4 none 0 nan
