primary_mass sec_mass period case donar_star donar_star_index donar_state
15.135612484362088 9.081367490617252 1.0 0 primary 1 1.0
15.135612484362088 9.081367490617252 1.2589254117941673 0 primary 1 1.0
15.135612484362088 9.081367490617252 1.5848931924611136 0 primary 1 1.0
15.135612484362088 9.081367490617252 1.99526231496888 0 primary 1 1.0
15.135612484362088 9.081367490617252 2.51188643150958 0 primary 1 1.0
15.135612484362088 9.081367490617252 3.1622776601683795 0 primary 1 1.0
15.135612484362088 9.081367490617252 3.981071705534973 0 primary 1 1.0
15.135612484362088 9.081367490617252 5.011872336272724 0 primary 1 1.0
15.135612484362088 9.081367490617252 6.309573444801933 0 primary 1 1.0
15.135612484362088 9.081367490617252 7.943282347242816 1 primary 1 2.0
15.135612484362088 9.081367490617252 10.0 1 primary 1 2.0
15.135612484362088 9.081367490617252 12.589254117941676 1 primary 1 2.0
15.135612484362088 9.081367490617252 15.848931924611142 1 primary 1 2.0
15.135612484362088 9.081367490617252 19.9526231496888 1 primary 1 2.0
15.135612484362088 9.081367490617252 25.11886431509581 1 primary 1 2.0
15.135612484362088 9.081367490617252 31.622776601683796 1 primary 1 2.0
15.135612484362088 9.081367490617252 39.81071705534973 1 primary 1 2.0
15.135612484362088 9.081367490617252 50.11872336272725 1 primary 1 2.0
15.135612484362088 9.081367490617252 63.09573444801933 1 primary 1 2.0
15.135612484362088 9.081367490617252 79.43282347242817 1 primary 1 2.0
15.135612484362088 9.081367490617252 100.0 1 primary 1 2.0
15.135612484362088 9.081367490617252 125.89254117941675 1 primary 1 2.0
15.135612484362088 9.081367490617252 158.48931924611142 1 primary 1 2.0
15.135612484362088 9.081367490617252 199.52623149688807 1 primary 1 2.0
15.135612484362088 9.081367490617252 251.18864315095823 1 primary 1 2.0
15.135612484362088 9.081367490617252 316.227766016838 1 primary 1 2.0
15.135612484362088 9.081367490617252 398.1071705534973 1 primary 1 2.0
15.135612484362088 9.081367490617252 501.18723362727246 1 primary 1 2.0
15.135612484362088 9.081367490617252 630.9573444801937 2 primary 5 4.0
15.135612484362088 9.081367490617252 794.3282347242822 2 primary 5 4.0
15.135612484362088 9.081367490617252 1000.0 2 primary 5 4.0
15.135612484362088 9.081367490617252 1258.9254117941675 2 primary 5 4.0
15.135612484362088 9.081367490617252 1584.893192461114 2 primary 5 4.0
15.135612484362088 9.081367490617252 1995.262314968881 2 primary 5 4.0
15.135612484362088 9.081367490617252 2511.886431509582 4 none 0 nan
15.135612484362088 9.081367490617252 3162.2776601683795 4 none 0 nan
15.135612484362088 9.081367490617252 3981.071705534973 4 none 0 nan
15.135612484362088 9.081367490617252 5011.872336272725 4 none 0 nan
15.135612484362088 9.081367490617252 6309.573444801937 4 none 0 nan
15.135612484362088 9.081367490617252 7943.282347242822 4 none 0 nan
15.135612484362088 9.081367490617252 10000.0 4 none 0 nan
15.48816618912482 9.292899713474892 1.2589254117941673 0 primary 1 1.0
15.48816618912482 9.292899713474892 1.5848931924611136 0 primary 1 1.0
15.48816618912482 9.292899713474892 1.99526231496888 0 primary 1 1.0
15.48816618912482 9.292899713474892 2.51188643150958 0 primary 1 1.0
15.48816618912482 9.292899713474892 3.1622776601683795 0 primary 1 1.0
15.48816618912482 9.292899713474892 3.981071705534973 0 primary 1 1.0
15.48816618912482 9.292899713474892 5.011872336272724 0 primary 1 1.0
15.48816618912482 9.292899713474892 6.309573444801933 0 primary 1 1.0
15.48816618912482 9.292899713474892 7.943282347242816 1 primary 1 2.0
15.48816618912482 9.292899713474892 10.0 1 primary 1 2.0
15.48816618912482 9.292899713474892 12.589254117941676 1 primary 1 2.0
15.48816618912482 9.292899713474892 15.848931924611142 1 primary 1 2.0
15.48816618912482 9.292899713474892 19.9526231496888 1 primary 1 2.0
15.48816618912482 9.292899713474892 25.11886431509581 1 primary 1 2.0
15.48816618912482 9.292899713474892 31.622776601683796 1 primary 1 2.0
15.48816618912482 9.292899713474892 39.81071705534973 1 primary 1 2.0
15.48816618912482 9.292899713474892 50.11872336272725 1 primary 1 2.0
15.48816618912482 9.292899713474892 63.09573444801933 1 primary 1 2.0
15.48816618912482 9.292899713474892 79.43282347242817 1 primary 1 2.0
