primary_mass period case donar_state
10.0 1.0 0 1.0
10.0 1.2589254117941673 0 1.0
10.0 1.5848931924611136 0 1.0
10.0 1.99526231496888 0 1.0
10.0 2.51188643150958 0 1.0
10.0 3.1622776601683795 0 1.0
10.0 3.981071705534973 0 1.0
10.0 5.011872336272724 0 1.0
10.0 6.309573444801933 0 1.0
10.0 7.943282347242816 0 1.0
10.0 10.0 0 1.0
10.0 12.589254117941676 1 2.0
10.0 15.848931924611142 1 2.0
10.0 19.9526231496888 1 2.0
10.0 25.11886431509581 1 2.0
10.0 31.622776601683796 1 2.0
10.0 39.81071705534973 1 2.0
10.0 50.11872336272725 1 2.0
10.0 63.09573444801933 1 2.0
10.0 79.43282347242817 1 2.0
10.0 100.0 1 2.0
10.0 125.89254117941675 1 2.0
10.0 158.48931924611142 1 2.0
10.0 199.52623149688807 1 2.0
10.0 251.18864315095823 1 2.0
10.0 316.227766016838 1 2.0
10.0 398.1071705534973 1 2.0
10.0 501.18723362727246 1 2.0
10.0 630.9573444801937 1 2.0
10.0 794.3282347242822 1 2.0
10.0 1000.0 1 2.0
10.0 1258.9254117941675 1 2.0
10.0 1584.893192461114 1 2.0
10.0 1995.262314968881 1 2.0
10.0 2511.886431509582 1 2.0
10.0 3162.2776601683795 4 
10.0 3981.071705534973 4 
10.0 5011.872336272725 4 
10.0 6309.573444801937 4 
10.0 7943.282347242822 4 
10.23292992280754 1.0 0 1.0
10.23292992280754 1.2589254117941673 0 1.0
10.23292992280754 1.5848931924611136 0 1.0
10.23292992280754 1.99526231496888 0 1.0
10.23292992280754 2.51188643150958 0 1.0
10.23292992280754 3.1622776601683795 0 1.0
10.23292992280754 3.981071705534973 0 1.0
10.23292992280754 5.011872336272724 0 1.0
10.23292992280754 6.309573444801933 0 1.0
10.23292992280754 7.943282347242816 0 1.0
10.23292992280754 10.0 0 1.0
10.23292992280754 12.589254117941676 1 2.0
10.23292992280754 15.848931924611142 1 2.0
10.23292992280754 19.9526231496888 1 2.0
10.23292992280754 25.11886431509581 1 2.0
10.23292992280754 31.622776601683796 1 2.0
10.23292992280754 39.81071705534973 1 2.0
10.23292992280754 50.11872336272725 1 2.0
10.23292992280754 63.09573444801933 1 2.0
10.23292992280754 79.43282347242817 1 2.0
10.23292992280754 100.0 1 2.0
10.23292992280754 125.89254117941675 1 2.0
10.23292992280754 158.48931924611142 1 2.0
10.23292992280754 199.52623149688807 1 2.0
10.23292992280754 251.18864315095823 1 2.0
10.23292992280754 316.227766016838 1 2.0
10.23292992280754 398.1071705534973 1 2.0
10.23292992280754 501.18723362727246 1 2.0
10.23292992280754 630.9573444801937 1 2.0
10.23292992280754 794.3282347242822 1 2.0
10.23292992280754 1000.0 1 2.0
10.23292992280754 1258.9254117941675 1 2.0
10.23292992280754 1584.893192461114 1 2.0
10.23292992280754 1995.262314968881 1 2.0
10.23292992280754 2511.886431509582 1 2.0
10.23292992280754 3162.2776601683795 4 
10.23292992280754 3981.071705534973 4 
10.23292992280754 5011.872336272725 4 
10.23292992280754 6309.573444801937 4 
10.23292992280754 7943.282347242822 4 
10.471285480508996 1.0 0 1.0
10.471285480508996 1.2589254117941673 0 1.0
10.471285480508996 1.5848931924611136 0 1.0
10.471285480508996 1.99526231496888 0 1.0
10.471285480508996 2.51188643150958 0 1.0
10.471285480508996 3.1622776601683795 0 1.0
10.471285480508996 3.981071705534973 0 1.0
10.471285480508996 5.011872336272724 0 1.0
10.471285480508996 6.309573444801933 0 1.0
10.471285480508996 7.943282347242816 0 1.0
10.471285480508996 10.0 0 1.0
10.471285480508996 12.589254117941676 1 2.0
10.471285480508996 15.848931924611142 1 2.0
10.471285480508996 19.9526231496888 1 2.0
10.471285480508996 25.11886431509581 1 2.0
10.471285480508996 31.622776601683796 1 2.0
10.471285480508996 39.81071705534973 1 2.0
10.471285480508996 50.11872336272725 1 2.0
10.471285480508996 63.09573444801933 1 2.0
10.471285480508996 79.43282347242817 1 2.0
10.471285480508996 100.0 1 2.0
10.471285480508996 125.89254117941675 1 2.0
10.471285480508996 158.48931924611142 1 2.0
10.471285480508996 199.52623149688807 1 2.0
10.471285480508996 251.18864315095823 1 2.0
10.471285480508996 316.227766016838 1 2.0
10.471285480508996 398.1071705534973 1 2.0
10.471285480508996 501.18723362727246 1 2.0
10.471285480508996 630.9573444801937 1 2.0
10.471285480508996 794.3282347242822 1 2.0
10.471285480508996 1000.0 1 2.0
10.471285480508996 1258.9254117941675 1 2.0
10.471285480508996 1584.893192461114 1 2.0
10.471285480508996 1995.262314968881 1 2.0
10.471285480508996 2511.886431509582 1 2.0
10.471285480508996 3162.2776601683795 4 
10.471285480508996 3981.071705534973 4 
10.471285480508996 5011.872336272725 4 
10.471285480508996 6309.573444801937 4 
10.471285480508996 7943.282347242822 4 
10.715193052376064 1.0 0 1.0
10.715193052376064 1.2589254117941673 0 1.0
10.715193052376064 1.5848931924611136 0 1.0
10.715193052376064 1.99526231496888 0 1.0
10.715193052376064 2.51188643150958 0 1.0
10.715193052376064 3.1622776601683795 0 1.0
10.715193052376064 3.981071705534973 0 1.0
10.715193052376064 5.011872336272724 0 1.0
10.715193052376064 6.309573444801933 0 1.0
10.715193052376064 7.943282347242816 0 1.0
10.715193052376064 10.0 0 1.0
10.715193052376064 12.589254117941676 1 2.0
10.715193052376064 15.848931924611142 1 2.0
10.715193052376064 19.9526231496888 1 2.0
10.715193052376064 25.11886431509581 1 2.0
10.715193052376064 31.622776601683796 1 2.0
10.715193052376064 39.81071705534973 1 2.0
10.715193052376064 50.11872336272725 1 2.0
10.715193052376064 63.09573444801933 1 2.0
10.715193052376064 79.43282347242817 1 2.0
10.715193052376064 100.0 1 2.0
10.715193052376064 125.89254117941675 1 2.0
10.715193052376064 158.48931924611142 1 2.0
10.715193052376064 199.52623149688807 1 2.0
10.715193052376064 251.18864315095823 1 2.0
10.715193052376064 316.227766016838 1 2.0
10.715193052376064 398.1071705534973 1 2.0
10.715193052376064 501.18723362727246 1 2.0
10.715193052376064 630.9573444801937 1 2.0
10.715193052376064 794.3282347242822 1 2.0
10.715193052376064 1000.0 1 2.0
10.715193052376064 1258.9254117941675 1 2.0
10.715193052376064 1584.893192461114 1 2.0
10.715193052376064 1995.262314968881 1 2.0
10.715193052376064 2511.886431509582 1 2.0
10.715193052376064 3162.2776601683795 4 
10.715193052376064 3981.071705534973 4 
10.715193052376064 5011.872336272725 4 
10.715193052376064 6309.573444801937 4 
10.715193052376064 7943.282347242822 4 
10.964781961431852 1.0 0 1.0
10.964781961431852 1.2589254117941673 0 1.0
10.964781961431852 1.5848931924611136 0 1.0
10.964781961431852 1.99526231496888 0 1.0
10.964781961431852 2.51188643150958 0 1.0
10.964781961431852 3.1622776601683795 0 1.0
10.964781961431852 3.981071705534973 0 1.0
10.964781961431852 5.011872336272724 0 1.0
10.964781961431852 6.309573444801933 0 1.0
10.964781961431852 7.943282347242816 0 1.0
10.964781961431852 10.0 0 1.0
10.964781961431852 12.589254117941676 1 2.0
10.964781961431852 15.848931924611142 1 2.0
10.964781961431852 19.9526231496888 1 2.0
10.964781961431852 25.11886431509581 1 2.0
10.964781961431852 31.622776601683796 1 2.0
10.964781961431852 39.81071705534973 1 2.0
10.964781961431852 50.11872336272725 1 2.0
10.964781961431852 63.09573444801933 1 2.0
10.964781961431852 79.43282347242817 1 2.0
10.964781961431852 100.0 1 2.0
10.964781961431852 125.89254117941675 1 2.0
10.964781961431852 158.48931924611142 1 2.0
10.964781961431852 199.52623149688807 1 2.0
10.964781961431852 251.18864315095823 1 2.0
10.964781961431852 316.227766016838 1 2.0
