primary_mass period seperation pri_state sec_state case
10.0 1.0 0.0 13.0 15.0 13
10.0 1.2589254117941673 0.0 13.0 15.0 13
10.0 1.5848931924611136 0.0 14.0 15.0 13
10.0 1.9952623149688797 0.0 13.0 15.0 13
10.0 2.51188643150958 0.0 13.0 15.0 13
10.0 3.1622776601683795 0.0 15.0 13.0 13
10.0 3.981071705534973 0.0 11.0 13.0 11
10.0 5.011872336272724 0.0 15.0 13.0 13
10.0 6.309573444801933 0.0 13.0 15.0 13
10.0 7.943282347242816 0.0 15.0 13.0 13
10.0 10.0 0.0 15.0 12.0 13
10.0 12.589254117941675 0.0 15.0 13.0 13
10.0 15.848931924611142 0.0 15.0 12.0 13
10.0 19.952623149688797 0.0 15.0 12.0 13
10.0 25.11886431509581 0.0 15.0 12.0 13
10.0 31.622776601683793 0.0 15.0 12.0 13
10.0 39.810717055349734 0.0 15.0 11.0 13
10.0 50.11872336272725 0.0 15.0 11.0 13
10.0 63.09573444801933 0.0 15.0 11.0 13
10.0 79.43282347242817 0.0 15.0 11.0 13
10.0 100.0 0.0 15.0 11.0 13
10.0 125.89254117941675 0.0 15.0 11.0 13
10.0 158.48931924611142 0.0 15.0 11.0 13
10.0 199.52623149688807 0.0 15.0 11.0 13
10.0 251.18864315095823 0.0 15.0 11.0 13
10.0 316.22776601683796 0.0 15.0 11.0 13
10.0 398.1071705534973 0.0 15.0 11.0 13
10.0 501.18723362727246 0.8936 13.0 11.0 4
10.0 630.9573444801937 11.52 12.0 11.0 4
10.0 794.3282347242822 16.68 12.0 11.0 4
10.0 1000.0 8.587 12.0 11.0 4
10.0 1258.9254117941675 28.89 12.0 11.0 4
10.0 1584.893192461114 49.35 13.0 12.0 4
10.0 1995.262314968881 12260.0 13.0 11.0 4
10.0 2511.886431509582 735900.0 13.0 11.0 4
10.0 3162.2776601683795 932700.0 13.0 11.0 4
10.0 3981.0717055349733 1170000.0 13.0 11.0 4
10.0 5011.872336272725 1453000.0 13.0 11.0 4
10.0 6309.573444801937 1784000.0 13.0 11.0 4
10.0 7943.282347242822 2171000.0 13.0 11.0 4
10.0 10000.0 2623000.0 13.0 11.0 4
10.232929922807541 1.0 0.0 13.0 15.0 13
10.232929922807541 1.2589254117941673 0.0 14.0 15.0 13
10.232929922807541 1.5848931924611136 0.0 14.0 15.0 13
10.232929922807541 1.9952623149688797 0.0 13.0 15.0 13
10.232929922807541 2.51188643150958 0.0 13.0 15.0 13
10.232929922807541 3.1622776601683795 0.0 15.0 13.0 13
10.232929922807541 3.981071705534973 0.0 11.0 13.0 11
10.232929922807541 5.011872336272724 0.0 15.0 13.0 13
10.232929922807541 6.309573444801933 1.101 13.0 11.0 4
10.232929922807541 7.943282347242816 0.0 15.0 13.0 13
10.232929922807541 10.0 0.0 15.0 12.0 13
10.232929922807541 12.589254117941675 0.0 15.0 13.0 13
