primary_mass sec_mass period num_of_lines time_max time_3rd_last time_4th_last sep_at_maxtime ecc_at_maxtime has_nan
31.622776601683825 18.973665961010294 1.0 2625 13700.0 13694.4473 13684.4473 0.0 -1.0 False
31.622776601683825 18.973665961010294 1.2589254117941673 98 0.4237 0.4234 0.4232 nan 0.0 True
31.622776601683825 18.973665961010294 1.5848931924611136 3397 13700.0 13697.5059 13687.5059 0.0 -1.0 False
31.622776601683825 18.973665961010294 1.9952623149688797 16597 13700.0 13699.2871 13698.2871 0.0 -1.0 False
31.622776601683825 18.973665961010294 2.51188643150958 16637 13700.0 13699.2783 13698.2783 0.0 -1.0 False
31.622776601683825 18.973665961010294 3.1622776601683795 16666 13700.0 13699.2881 13698.2881 0.0 -1.0 False
31.622776601683825 18.973665961010294 3.981071705534973 16686 13700.0 13699.3008 13698.3008 0.0 -1.0 False
31.622776601683825 18.973665961010294 5.011872336272724 16720 13700.0 13699.3086 13698.3086 0.0 -1.0 False
31.622776601683825 18.973665961010294 6.309573444801933 16744 13700.0 13699.332 13698.332 0.0 -1.0 False
31.622776601683825 18.973665961010294 7.943282347242816 16763 13700.0 13699.3594 13698.3594 0.0 -1.0 False
31.622776601683825 18.973665961010294 10.0 16779 13700.0 13699.3848 13698.3848 0.0 -1.0 False
31.622776601683825 18.973665961010294 12.589254117941675 16791 13700.0 13699.4082 13698.4082 0.0 -1.0 False
31.622776601683825 18.973665961010294 15.848931924611142 17906 13700.0 13699.9023 13698.9023 14.18 0.1579 False
31.622776601683825 18.973665961010294 19.952623149688797 17910 13700.0 13699.9043 13698.9043 14.03 0.128 False
31.622776601683825 18.973665961010294 25.11886431509581 17915 13700.0 13699.9092 13698.9092 14.06 0.1274 False
31.622776601683825 18.973665961010294 31.622776601683793 17918 13700.0 13699.918 13698.918 13.78 0.1541 False
31.622776601683825 18.973665961010294 39.810717055349734 17891 13700.0 13699.9414 13698.9414 15.46 0.1721 False
31.622776601683825 18.973665961010294 50.11872336272725 5526 13700.0 13698.9512 13688.9512 25.28 0.152 False
31.622776601683825 18.973665961010294 63.09573444801933 5504 13700.0 13698.9775 13688.9775 27.3 0.2491 False
31.622776601683825 18.973665961010294 79.43282347242817 5494 13700.0 13698.9844 13688.9844 29.74 0.2697 False
31.622776601683825 18.973665961010294 100.0 5493 13700.0 13698.9863 13688.9863 30.94 0.2826 False
31.622776601683825 18.973665961010294 125.89254117941675 5476 13700.0 13698.9873 13688.9873 31.9 0.292 False
31.622776601683825 18.973665961010294 158.48931924611142 5472 13700.0 13698.9922 13688.9922 35.1 0.2996 False
31.622776601683825 18.973665961010294 199.52623149688807 5481 13700.0 13698.9961 13688.9961 38.71 0.3054 False
31.622776601683825 18.973665961010294 251.18864315095823 5541 13700.0 13699.0059 13689.0059 40.09 0.2731 False
31.622776601683825 18.973665961010294 316.22776601683796 5548 13700.0 13699.0078 13689.0078 43.86 0.289 False
31.622776601683825 18.973665961010294 398.1071705534973 5560 13700.0 13699.0098 13689.0098 48.33 0.3026 False
31.622776601683825 18.973665961010294 501.18723362727246 5559 13700.0 13699.0078 13689.0078 52.83 0.3261 False
31.622776601683825 18.973665961010294 630.9573444801937 5556 13700.0 13699.0059 13689.0059 57.32 0.3491 False
31.622776601683825 18.973665961010294 794.3282347242822 5550 13700.0 13699.0107 13689.0107 63.16 0.3629 False
31.622776601683825 18.973665961010294 1000.0 5547 13700.0 13699.0361 13689.0361 69.43 0.3566 False
