    0.0000  1  1   20.0000   15.0000    0.0000    0.0000    0.7600    0.6901    0.1702    0.1652    4.6468    4.2989  0.1658E+04  0.2032E+04  0.0000E+00  0.0000E+00  0.8064E-09  0.1074E-08  0.5470E-02  0.6606E-02  0.8370E+02  0.0000E+00
    0.0091  1  1   19.9997   15.0000    0.0000    0.0000    0.7604    0.6903    0.1703    0.1653    4.6470    4.2991  0.1656E+04  0.2030E+04 -0.3339E-07 -0.5470E-08  0.8100E-09  0.1076E-08  0.5561E-02  0.6607E-02  0.8370E+02  0.0000E+00
    0.0181  1  1   19.9994   14.9999    0.0000    0.0000    0.7607    0.6906    0.1704    0.1654    4.6473    4.2992  0.1653E+04  0.2028E+04 -0.3361E-07 -0.5873E-08  0.8136E-09  0.1078E-08  0.5652E-02  0.6607E-02  0.8370E+02  0.0000E+00
    0.0272  1  1   19.9991   14.9998    0.0000    0.0000    0.7610    0.6908    0.1706    0.1655    4.6476    4.2994  0.1650E+04  0.2026E+04 -0.3339E-07 -0.5468E-08  0.8171E-09  0.1080E-08  0.5743E-02  0.6608E-02  0.8370E+02  0.0000E+00
    0.0362  1  1   19.9988   14.9998    0.0000    0.0000    0.7614    0.6910    0.1707    0.1656    4.6478    4.2996  0.1647E+04  0.2024E+04 -0.3339E-07 -0.5467E-08  0.8207E-09  0.1082E-08  0.5834E-02  0.6609E-02  0.8370E+02  0.0000E+00
    0.0453  1  1   19.9985   14.9997    0.0000    0.0000    0.7617    0.6913    0.1708    0.1656    4.6481    4.2998  0.1645E+04  0.2021E+04 -0.3339E-07 -0.5467E-08  0.8243E-09  0.1084E-08  0.5926E-02  0.6608E-02  0.8370E+02  0.0000E+00
    0.0543  1  1   19.9982   14.9997    0.0000    0.0000    0.7621    0.6915    0.1710    0.1657    4.6483    4.2999  0.1642E+04  0.2019E+04 -0.3356E-07 -0.5463E-08  0.8278E-09  0.1086E-08  0.5995E-02  0.6605E-02  0.8370E+02  0.0000E+00
    0.0634  1  1   19.9979   14.9997    0.0000    0.0000    0.7624    0.6917    0.1711    0.1658    4.6486    4.3001  0.1639E+04  0.2017E+04 -0.3365E-07 -0.5461E-08  0.8312E-09  0.1088E-08  0.5996E-02  0.6603E-02  0.8370E+02  0.0000E+00
    0.0725  1  1   19.9976   14.9996    0.0000    0.0000    0.7627    0.6919    0.1712    0.1659    4.6488    4.3003  0.1637E+04  0.2015E+04 -0.3355E-07 -0.5459E-08  0.8345E-09  0.1090E-08  0.5996E-02  0.6602E-02  0.8370E+02  0.0000E+00
    0.0815  1  1   19.9973   14.9996    0.0000    0.0000    0.7630    0.6922    0.1713    0.1660    4.6491    4.3005  0.1634E+04  0.2013E+04 -0.3353E-07 -0.5448E-08  0.8379E-09  0.1092E-08  0.5995E-02  0.6599E-02  0.8370E+02  0.0000E+00
    0.0906  1  1   19.9970   14.9995    0.0000    0.0000    0.7634    0.6924    0.1715    0.1661    4.6494    4.3007  0.1632E+04  0.2011E+04 -0.3353E-07 -0.5454E-08  0.8412E-09  0.1094E-08  0.5995E-02  0.6595E-02  0.8370E+02  0.0000E+00
