    0.0000  1  1    1.0000    1.5000    0.0000    0.0000   -0.0476    0.1659    0.0336    0.0456   -0.1449    0.6929  0.1044E+04  0.2043E+04  0.0000E+00  0.0000E+00  0.2790E-01  0.1548E-06  0.2459E+00  0.1027E-01  0.7749E+02  0.0000E+00
    2.3687  1  1    1.0000    1.5000    0.0000    0.0000   -0.0475    0.1660    0.0336    0.0456   -0.1449    0.6931  0.1043E+04  0.2043E+04 -0.2537E-13 -0.1924E-12  0.2789E-01  0.1543E-06  0.2460E+00  0.1026E-01  0.7749E+02  0.0000E+00
    4.7375  1  1    1.0000    1.5000    0.0000    0.0000   -0.0475    0.1661    0.0336    0.0456   -0.1448    0.6933  0.1043E+04  0.2042E+04 -0.2545E-13 -0.1924E-12  0.2789E-01  0.1537E-06  0.2460E+00  0.1025E-01  0.7749E+02  0.0000E+00
    7.1062  1  1    1.0000    1.5000    0.0000    0.0000   -0.0475    0.1662    0.0336    0.0457   -0.1447    0.6935  0.1042E+04  0.2041E+04 -0.2550E-13 -0.1924E-12  0.2789E-01  0.1532E-06  0.2460E+00  0.1025E-01  0.7749E+02  0.0000E+00
    9.4749  1  1    1.0000    1.5000    0.0000    0.0000   -0.0474    0.1663    0.0336    0.0457   -0.1446    0.6937  0.1041E+04  0.2040E+04 -0.2555E-13 -0.1924E-12  0.2788E-01  0.1526E-06  0.2461E+00  0.1024E-01  0.7749E+02  0.0000E+00
   11.8437  1  1    1.0000    1.5000    0.0000    0.0000   -0.0474    0.1664    0.0336    0.0457   -0.1445    0.6939  0.1041E+04  0.2039E+04 -0.2558E-13 -0.1918E-12  0.2788E-01  0.1521E-06  0.2461E+00  0.1023E-01  0.7749E+02  0.0000E+00
   14.2124  1  1    1.0000    1.5000    0.0000    0.0000   -0.0474    0.1665    0.0336    0.0457   -0.1444    0.6941  0.1040E+04  0.2038E+04 -0.2537E-13 -0.1913E-12  0.2787E-01  0.1516E-06  0.2461E+00  0.1021E-01  0.7749E+02  0.0000E+00
   16.5811  1  1    1.0000    1.5000    0.0000    0.0000   -0.0474    0.1666    0.0336    0.0457   -0.1444    0.6943  0.1040E+04  0.2037E+04 -0.2537E-13 -0.1922E-12  0.2787E-01  0.1512E-06  0.2461E+00  0.1020E-01  0.7749E+02  0.0000E+00
   18.9498  1  1    1.0000    1.5000    0.0000    0.0000   -0.0473    0.1667    0.0336    0.0457   -0.1443    0.6945  0.1039E+04  0.2036E+04 -0.2537E-13 -0.1930E-12  0.2787E-01  0.1507E-06  0.2462E+00  0.1018E-01  0.7749E+02  0.0000E+00
   21.3186  1  1    1.0000    1.5000    0.0000    0.0000   -0.0473    0.1668    0.0336    0.0457   -0.1442    0.6947  0.1039E+04  0.2035E+04 -0.2537E-13 -0.1930E-12  0.2786E-01  0.1502E-06  0.2462E+00  0.1016E-01  0.7749E+02  0.0000E+00
   23.6873  1  1    1.0000    1.5000    0.0000    0.0000   -0.0473    0.1669    0.0336    0.0457   -0.1441    0.6949  0.1038E+04  0.2034E+04 -0.2537E-13 -0.1930E-12  0.2786E-01  0.1497E-06  0.2462E+00  0.1014E-01  0.7749E+02  0.0000E+00
